epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9355,1.39287,2.62227,2.0023,0.00333,1,0.72338,0.35511,0.9686,3.35615,2.22771,8e-05,8e-05,8e-05
2,39.5952,1.14037,2.28678,1.77555,0.00333,1,0.9775,0.52864,1.18002,3.28285,2.35757,0.000176436,0.000176436,0.000176436
3,57.8698,1.04391,1.63773,1.66498,0.00333,1,0.96,0.49633,0.99207,3.26312,2.14672,0.000268912,0.000268912,0.000268912
4,76.0911,0.98753,1.36378,1.54763,0.00333,1,0.913,0.52409,1.09981,3.24876,2.16172,0.000357428,0.000357428,0.000357428
5,94.8809,0.96376,1.36056,1.56757,0.81625,0.85714,0.85955,0.38149,1.50205,2.98577,3.35372,0.000441984,0.000441984,0.000441984
6,112.959,0.91456,1.23978,1.43406,0.16267,0.85714,0.80497,0.33621,1.46078,3.24848,3.16196,0.00052258,0.00052258,0.00052258
7,131.798,0.85817,1.18109,1.41598,0.385,0.85714,0.69468,0.27282,1.60617,3.37671,4.17867,0.000599216,0.000599216,0.000599216
8,150.675,0.94376,1.15193,1.4851,0.73502,0.71429,0.72183,0.30818,1.72469,2.92382,4.2258,0.000671892,0.000671892,0.000671892
9,170.398,0.9441,1.1585,1.47631,0.79137,0.42857,0.73688,0.40261,1.71868,3.03072,2.92202,0.000740608,0.000740608,0.000740608
10,189.37,0.87079,1.03558,1.44327,1,0.85263,0.995,0.40016,1.61799,2.80576,3.22864,0.000805364,0.000805364,0.000805364
11,208.449,0.86996,1.08462,1.42158,0.71309,0.71429,0.78823,0.35112,1.42959,3.14437,2.61911,0.00086616,0.00086616,0.00086616
12,227.327,0.78877,0.97918,1.3612,0.27258,0.71429,0.2661,0.12297,1.94653,3.73858,2.93809,0.000922996,0.000922996,0.000922996
13,245.988,0.81773,0.96962,1.37006,0.27666,0.42857,0.32783,0.12148,2.14256,3.48184,3.48218,0.000975872,0.000975872,0.000975872
14,264.424,0.81936,0.954,1.39777,0.53876,0.83611,0.54514,0.11863,2.30835,3.54669,3.56433,0.00102479,0.00102479,0.00102479
15,285.154,0.81596,0.88277,1.37111,0.03608,0.28571,0.0398,0.00857,3.52995,5.93445,5.01984,0.00106974,0.00106974,0.00106974
16,302.587,0.83057,0.93204,1.37017,0.00095,0.28571,0.00151,0.00026,4.41184,6.17344,6.93037,0.00111074,0.00111074,0.00111074
17,319.158,0.81382,1.00386,1.40573,0.00143,0.42857,0.00251,0.00054,3.95753,7.74582,5.74185,0.00114778,0.00114778,0.00114778
18,335.955,0.81073,0.92485,1.37338,0.32422,0.14286,0.11425,0.01636,3.50907,5.85881,4.81711,0.00118085,0.00118085,0.00118085
